name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1986 12:00;1,0;0;95;12.3;;;19;1900;0;4.1;;;;;5.1;1.5;9.5;290
Et kaup selkä 1;5520;227911;7005357;2.4;20.1.1987 11:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.1.1987 11:00;1,0;;92;13.1;;;6;2500;;0;;;;;5.3;4.1;3.4;780
Et kaup selkä 1;5520;227911;7005357;2.4;20.1.1987 11:00;1,5;;89;12.6;;;;;;0.3;;;;;6;4.5;;850
Et kaup selkä 1;5520;227911;7005357;2.4;18.3.1987 15:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.3.1987 15:00;1,0;;34;4.8;;;12;2000;;-0.1;;;;;6.3;5.1;2.1;880
Et kaup selkä 1;5520;227911;7005357;2.4;18.3.1987 15:00;1,5;;35;4.9;;;;;;-0.1;;;;;6.3;5.1;;890
Et kaup selkä 1;5520;227911;7005357;2.4;25.5.1987 13:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.5.1987 13:00;0,0-1,5;;;;;2.2;;;;9.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1987 13:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1987 13:00;0,0-1,5;;;;;3.2;19;1400;;14.4;520;3;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1987 13:00;0,1;5;;;;;;;5;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1987 13:00;1,0;;99;10;;;16;1300;;14.5;;;;;6.8;2;6.8;400
Et kaup selkä 1;5520;227911;7005357;2.4;29.6.1987 16:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.6.1987 16:00;0,0-1,5;;;;;2.4;;;;16.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1987 12:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1987 12:00;0,0-1,2;;;;;4.4;12;650;;16.6;330;2;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1987 12:00;0,0-1,5;;;;;3.2;11;720;;16.3;410;2;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.7.1987 12:00;0,0-2,0;;;;;1.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.8.1987 11:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.8.1987 11:00;0,0-0,7;;;;;0.8;13;390;;;9;1;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.8.1987 11:00;0,1;0;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.8.1987 11:00;0,7;;103;10.3;;;12;340;;14.4;;;;;8;3.4;1.4;640
Et kaup selkä 1;5520;227911;7005357;2.4;5.10.1987 11:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.10.1987 11:00;0,1;0;;;;;;;3;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.10.1987 11:00;1,0;;96;11.4;;;17;1400;;7.3;;;;;6.9;2;8.1;400
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1988 12:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1988 12:00;0,5;;59;8.6;;;;;;0;;;;;;0.56;;160
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1988 12:00;1,0;;60;8.8;;;9;2900;;-0.1;;;;;4.7;0.92;2.2;260
Et kaup selkä 1;5520;227911;7005357;2.4;18.3.1988 8:00;1,0;;50;7.3;;;8.5;2900;;0.1;;;;;4.8;1.5;3.4;346
Et kaup selkä 1;5520;227911;7005357;2.4;18.3.1988 8:00;1,5;;66;9.5;;;;;;0.1;;;;;;2.8;;640
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1988 12:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1988 12:00;0,0-2,0;;;;;5.8;13;1100;;15.5;630;3;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1988 12:00;0,1;0;;;;;;;3;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1988 12:00;1,0;;107;10.5;;;12;1100;;15.8;;;;;7.7;2.7;2;520
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.1988 9:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.1988 9:00;0,0-1,5;;;;;5.4;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1988 8:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1988 8:00;0,0-2,0;;;;;4.2;10;490;;20.3;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1988 8:00;0,1;10;;;;;;;40;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.7.1988 15:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.7.1988 15:00;0,0-2,0;;;;;6.2;;;;18.9;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1988 13:00;;;;;;;;;;;;;;2.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1988 13:00;0,0-2,0;;;;;9.3;19;700;;15.8;76;2;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1988 13:00;0,1;4;;;;;;;10;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.8.1988 13:00;1,0;;99;9.6;;;18;570;;16;;;;;7.7;2.6;2.4;500
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1988 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1988 0:00;0,1;0;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1988 0:00;1,0;;102;11.6;;;9;1100;;9.2;;;;;6.9;2.9;3.6;540
Et kaup selkä 1;5520;227911;7005357;2.4;17.1.1989 8:00;;;;;;;;;;;;;;2.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.1.1989 8:00;1,0;;79;11.2;;;9;660;;0.1;;;;;7;4.6;1.2;800
Et kaup selkä 1;5520;227911;7005357;2.4;17.1.1989 8:00;1,5;;80;11.3;;;;;;0.2;;;;;;4.6;;810
Et kaup selkä 1;5520;227911;7005357;2.4;14.3.1989 10:00;0,5;;70;10.1;;;;;;0.3;;;;;;0.1;;54
Et kaup selkä 1;5520;227911;7005357;2.4;14.3.1989 10:00;1,0;;69;10;;;9;4800;;0.4;3100;11;;;4.6;0.1;2.7;55
Et kaup selkä 1;5520;227911;7005357;2.4;29.5.1989 9:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.5.1989 9:00;0,0-2,0;;;;;8.9;;;;12.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1989 10:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1989 10:00;0,0-2,0;;;;;13;19;560;;16;160;2;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1989 10:00;0,1;1;;;;;;;6;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1989 10:00;1,0;;112;10.8;;;18;540;;;;;;;7.9;3.6;2.2;630
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.1989 13:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.1989 13:00;0,0-2,0;;;;;14;;;;19.3;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.7.1989 14:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.7.1989 14:00;0,0-1,5;;;;;5.9;14;470;;17.1;2;1;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.7.1989 14:00;0,1;1;;;;;;;1;17.1;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.8.1989 8:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.8.1989 8:00;0,0-2,0;;;;;6.7;;;;18.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.8.1989 7:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.8.1989 7:00;0,0-1,6;;;;;6.4;18;450;;17.4;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.8.1989 7:00;0,1;2;;;;;;;29;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.8.1989 7:00;1,0;;97;9;;;13;420;;17.7;;;;;8;4.7;1.4;840
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1989 9:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1989 9:00;0,1;5;;;;;;;30;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1989 9:00;1,0;;96;11.2;;;38;640;;7.8;;;;;7.8;4.6;7;830
Et kaup selkä 1;5520;227911;7005357;2.4;16.1.1990 10:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.1.1990 10:00;0,6;;72;10.3;;;;;;0.3;;;;;;2.1;;730
Et kaup selkä 1;5520;227911;7005357;2.4;16.1.1990 10:00;1,0;;77;10.8;;;7;720;;0.3;;;;;7;4.8;1.5;840
Et kaup selkä 1;5520;227911;7005357;2.4;7.3.1990 10:00;;;;;;;;;;;;;;0.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.3.1990 10:00;1,0;;71;10.2;;;15;4400;;0.5;;;;;4.6;1;8.9;330
Et kaup selkä 1;5520;227911;7005357;2.4;7.3.1990 10:00;2,0;;81;11.4;;;6;910;;0.5;;;;;6.7;4.5;3.3;740
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1990 12:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1990 12:00;0,0-2,0;;;;;8.6;10;570;;;210;3;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1990 12:00;0,1-0,1;0;;;;;;;0;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1990 12:00;1,0-1,0;;110;10.6;;;12;570;;;;;;;8.2;3.5;2.3;610
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1990 8:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1990 8:00;0,0-2,0;;;;;4.4;;;;16.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.1990 14:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.1990 14:00;0,0-2,0;;;;;3.6;11;360;;17;2;1;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.1990 14:00;0,1;24;;;;;;;2;17;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.8.1990 9:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.8.1990 9:00;0,0-2,0;;;;;8.4;;;;18.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.1990 7:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.1990 7:00;0,0-2,0;;;;;6.1;16;510;;18;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.1990 7:00;0,1;0;;;;;;;3;18;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.1990 7:00;1,0;;102;9.5;;;16;470;;18;;;;;7.9;3.1;1.4;570
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.1990 10:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.1990 10:00;1,0;;101;11.8;;;13;340;;7.3;;;;;7.9;4.3;2;750
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1991 10:00;;;;;;;;;;;;;;2.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1991 10:00;1,0-1,0;;46;6.5;;;7;680;;0.5;;;;;7;4.2;1.1;810
Et kaup selkä 1;5520;227911;7005357;2.4;5.3.1991 14:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.3.1991 14:00;1,0-1,0;;78;10.8;;;4;1200;;0.8;;;;;6.7;4.6;1.3;780
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1991 8:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1991 8:00;0,0-2,0;;;;;0.9;7;1600;;14.8;950;2;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1991 8:00;0,1;0;;;;;;;0;14.8;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1991 8:00;1,0;;103;10.4;;;5;1700;;14.8;;;;;6.1;2.1;2.6;420
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1991 8:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1991 8:00;0,0-2,0;;;;;4.2;;;;15.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.7.1991 8:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.7.1991 8:00;0,0-2,0;;;;;3.5;12;760;;17.8;380;3;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.7.1991 8:00;0,1;0;;;;;;;4;17.8;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.7.1991 8:00;0,0-2,0;;;;;6.2;;;;20.8;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1991 8:00;;;;;;;;;;;;;;2.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1991 8:00;0,0-1,0;;;;;4.7;14;440;;17.6;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1991 8:00;0,1;4;;;;;;;3;17.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.8.1991 8:00;1,0;;92;8.7;;;12;400;;17.6;;;;;7.9;3;1.2;560
Et kaup selkä 1;5520;227911;7005357;2.4;30.9.1991 12:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.9.1991 12:00;1,0;;98;11.5;;;15;470;;7.6;;;;;7.9;3.8;1.8;680
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1992 9:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.1.1992 9:00;1,0;;80;11.4;;;4;1200;;0.1;;;;;6.8;4.4;1.7;800
Et kaup selkä 1;5520;227911;7005357;2.4;30.3.1992 13:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.3.1992 13:00;1,0;;76;10.8;;;20;5400;;1.3;;;;;4.6;0.1;4.6;68
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1992 8:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1992 8:00;0,0-1,0;;;;;11;14;1500;;17;910;6;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1992 8:00;0,1;0;;;;;;;5;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1992 8:00;1,0;;105;10;;;14;1400;;17.2;;;;;7.5;2.4;2.3;480
Et kaup selkä 1;5520;227911;7005357;2.4;30.6.1992 8:00;0,0-1,5;;;;;4.7;;;;17.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1992 8:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1992 8:00;0,0-1,0;;;;;4.4;21;460;;19.6;2;1;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1992 8:00;0,1;0;;;;;;;3;19.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.7.1992 8:00;0,0-1,5;;;;;3.6;;;;20;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.8.1992 8:00;0,0-1,0;;;;;3.1;14;450;;15;2;1;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.8.1992 8:00;0,1;0;;;;;;;0;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.8.1992 8:00;1,0;;102;9.9;;;13;390;;15.9;;;;;8.1;4.3;1.3;790
Et kaup selkä 1;5520;227911;7005357;2.4;5.10.1992 8:00;1,0;;97;11.4;;;9;2000;;8.1;;;;;6.3;1.7;5.2;320
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1993 11:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.1.1993 11:00;1,0;;85;12;;;5;1800;;0.2;;;1000;;6.7;4.1;3.3;680
Et kaup selkä 1;5520;227911;7005357;2.4;10.3.1993 13:00;1,0;;76;10.4;;;7;640;;1.2;;;;;6.8;4.4;1.6;780
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1993 8:00;0,0-1,0;;;;;7.1;12;660;;12;240;3;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1993 8:00;1,0;1;109;11.5;;;11;640;0;12.2;;;;;8.4;3.4;2;630
Et kaup selkä 1;5520;227911;7005357;2.4;30.6.1993 8:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.6.1993 8:00;0,0-1,0;;;;;6.5;;;;16;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1993 8:00;;;;;;;;;;;;;;2.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1993 8:00;0,0-1,0;;;;;4.4;14;410;;16.2;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.7.1993 8:00;0,1;0;;;;;;;13;16.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.1993 0:00;;;;;;;;;;;;;;0.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.1993 0:00;0,0-1,0;;;;;26;;;;18.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1993 7:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1993 7:00;0,0-2,0;;;;;5.2;14;460;;16.4;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1993 7:00;1,0;0;102;9.8;;;14;430;5;16.4;;;;;8.2;3.4;1.4;630
Et kaup selkä 1;5520;227911;7005357;2.4;4.10.1993 9:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.10.1993 9:00;1,0;;99;12.3;;;10;1400;;5.5;;;;;7.1;2.6;5.6;500
Et kaup selkä 1;5520;227911;7005357;2.4;17.1.1994 15:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.1.1994 15:00;1,0;;72;10.1;;;7;1300;;0.7;;;;;6.6;4;3.8;700
Et kaup selkä 1;5520;227911;7005357;2.4;8.3.1994 15:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.3.1994 15:00;1,0;;63;8.9;;;10;1100;;0.2;;;;;6.6;4.7;1.1;840
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1994 8:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1994 8:00;0,0-2,0;;;;;9.1;15;680;;14.2;240;2;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.6.1994 8:00;1,0;0;104;10.6;;;13;610;2;14.2;;;;;7.6;2.2;2.3;440
Et kaup selkä 1;5520;227911;7005357;2.4;29.6.1994 15:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.6.1994 15:00;0,0-2,0;;;;;4.4;;;;19.3;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1994 8:00;;;;;;;;;;;;;;2.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.1994 8:00;0,0-1,5;0;;;;3.8;13;420;0;20.6;2;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.7.1994 8:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.7.1994 8:00;0,0-2,0;;;;;2.5;;;;20;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.1994 8:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.1994 8:00;0,0-1,0;;;;;4.6;15;540;;19.9;5;0;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.1994 8:00;1,0;11;99;8.9;;;19;530;24;19.9;;;;;7.7;2.1;1.2;560
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1994 13:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.1994 13:00;1,0;;93;11.3;;;13;360;;5.7;;;;;7.7;4.3;3;800
Et kaup selkä 1;5520;227911;7005357;2.4;23.1.1995 13:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.1.1995 13:00;1,0;;76;10.7;;;2;1200;;0.5;;;;;6.5;3.6;2.6;690
Et kaup selkä 1;5520;227911;7005357;2.4;1.3.1995 15:00;;;;;;;;;;;;;;2.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.3.1995 15:00;1,0;;77;10.9;;;7;1400;;0.5;;;;;6.6;3.8;2.8;710
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1995 19:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1995 19:00;0,0-1,0;;;;;9.2;17;620;;15.9;;;240;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.1995 19:00;1,0;0;106;10.3;;;16;600;11;15.9;;;;;7.6;2.7;3.1;510
Et kaup selkä 1;5520;227911;7005357;2.4;10.7.1995 9:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.7.1995 9:00;0,0-1,0;1;;;;3.8;14;410;3;15.6;;;2;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.1995 17:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.1995 17:00;0,0-1,0;;;;;2.4;;;;18;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.8.1995 16:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.8.1995 16:00;0,0-1,0;;;;;1.3;10;330;;;;;2;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.8.1995 16:00;1,0;0;118;10.7;;;11;320;0;19.3;;;;;8.1;3.6;0.91;670
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1995 8:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1995 8:00;1,0;;98;11.4;;;17;410;;7.7;;;;;7.7;4.5;3;800
Et kaup selkä 1;5520;227911;7005357;2.4;15.1.1996 14:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.1.1996 14:00;1,0;;51;7.2;;;12;730;;0.6;;;;;6.9;4.5;0.56;850
Et kaup selkä 1;5520;227911;7005357;2.4;11.3.1996 12:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.3.1996 12:00;1,0;;22;3.2;;;11;890;;-0.2;;;;;6.8;4.7;1.2;850
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1996 18:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1996 18:00;0,0-1,0;;;;;3.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.1996 18:00;1,0;0;113;10.6;;;14;770;0;17.8;;;350;;7.4;3.2;4;600
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1996 8:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.1996 8:00;0,0-1,0;;;;;4.8;;;;14.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.1996 8:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.1996 8:00;0,0-1,0;;;;;3.6;;;;;;;;;;;;
