name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.1996 8:00;1,0;5;;;;;9;360;0;16.8;;;62;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.1996 10:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.1996 10:00;0,0-1,0;;;;;1;;;;17.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.1996 8:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.1996 8:00;0,0-1,0;;;;;3.7;;;;16.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.1996 8:00;1,0;0;103;9.9;;;9;390;0;16.7;;;51;;6.8;2;1.6;390
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1996 16:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.1996 16:00;1,0;;100;11.2;;;23;420;;9.2;;;;;7.8;4.2;3.1;760
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1997 13:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1997 13:00;1,0;;56;7.9;;;6;1200;;0.6;;;;;6.5;4.4;3;810
Et kaup selkä 1;5520;227911;7005357;2.4;4.3.1997 14:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.3.1997 14:00;1,0;;51;7.2;;;4;4500;;0.7;;;2800;;4.6;1.5;1.6;340
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1997 8:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1997 8:00;0,0-1,0;;;;;1.5;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.1997 8:00;1,0;0;108;10;;;10;1100;0;18.1;;;580;;6.2;2.1;1.9;430
Et kaup selkä 1;5520;227911;7005357;2.4;30.6.1997 9:00;0,0-1,0;;;;;2.9;;;;19.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.1997 8:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.1997 8:00;0,0-1,0;;;;;4.5;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.1997 8:00;1,0;0;;;;;11;320;0;20.8;;;2;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.7.1997 8:00;0,0-1,0;;;;;2.3;;;;22;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.1997 8:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.1997 8:00;0,0-1,0;;;;;3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.1997 8:00;1,0;2;109;9.4;;;11;350;10;21.8;;;2;;7.9;3.7;0.72;700
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1997 9:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1997 9:00;1,0;;96;11.2;;;13;420;;7.9;;;49;;7.7;4;1.4;740
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1998 10:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.1.1998 10:00;1,0;;81;11.5;;;7;3300;;0.3;;;1600;;6.1;3.1;13;570
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1998 13:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.1998 13:00;1,0;;71;10;;;4;2200;;0.7;;;;;6.3;;4.4;680
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1998 8:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1998 8:00;0,0-1,0;;;;;1.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.6.1998 8:00;1,0;0;103;10.6;;;9;1400;0;13.8;;;900;;6.4;2;5.2;400
Et kaup selkä 1;5520;227911;7005357;2.4;23.6.1998 18:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.6.1998 18:00;0,0-1,0;;;;;5.7;;;;12.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.1998 17:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.1998 17:00;0,0-1,0;;;;;5.1;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.1998 17:00;1,0;0;;;;;11;880;3;18.9;;;500;;7.8;;;570
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.1998 9:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.1998 9:00;0,0-1,0;;;;;6.4;;;;15.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.1998 8:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.1998 8:00;0,0-1,0;;;;;2.8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.1998 8:00;1,0;0;101;9.4;;;11;870;0;17.8;;;340;;6.9;2.2;7.1;420
Et kaup selkä 1;5520;227911;7005357;2.4;10.9.1998 10:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.9.1998 10:00;0,0-1,0;;;;;1.1;;;;14.3;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1998 8:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1998 8:00;0,0-1,0;;;;;0.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.1998 8:00;1,0;;98;12.1;;;8;1500;;5.8;;;;;6.8;2.5;4.1;480
Et kaup selkä 1;5520;227911;7005357;2.4;1.2.1999 10:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.2.1999 10:00;1,0;;80;11.2;;;8;1600;;0.6;;;;;6.6;3.9;3.2;700
Et kaup selkä 1;5520;227911;7005357;2.4;9.3.1999 14:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.3.1999 14:00;1,0;;67;9.4;;;8;980;;0.7;;;;;6.9;;1.3;860
Et kaup selkä 1;5520;227911;7005357;2.4;14.6.1999 8:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.6.1999 8:00;0,0-1,0;;;;;8.4;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;14.6.1999 8:00;1,0;20;123;11.9;;;14;590;5;20;;;140;;8;;2.1;630
Et kaup selkä 1;5520;227911;7005357;2.4;30.6.1999 11:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.6.1999 11:00;0,0-1,0;;;;;2.6;;;;21.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.7.1999 10:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.7.1999 10:00;0,0-1,0;;;;;3.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.7.1999 10:00;1,0;1;;;;;14;440;3;19.6;;;5;;7.9;;;740
Et kaup selkä 1;5520;227911;7005357;2.4;30.7.1999 8:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.7.1999 8:00;0,0-1,0;;;;;4.6;;;;16;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1999 8:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1999 8:00;0,0-1,0;;;;;3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.1999 8:00;1,0;0;101;9.5;;;13;380;15;16.9;;;5;;8.1;;1.6;850
Et kaup selkä 1;5520;227911;7005357;2.4;4.10.1999 9:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.10.1999 9:00;1,0;;99;10.6;;;16;440;;11;;;;;7.9;;1.9;880
Et kaup selkä 1;5520;227911;7005357;2.4;7.3.2000 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.3.2000 0:00;1,0;;80;11.2;;;3;2200;;0.6;;;;;6.3;;6.4;640
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2000 0:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2000 0:00;0,0-1,0;;;;;8.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2000 0:00;0,1;0;;;;;;;3;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2000 0:00;1,0;;100;10;;;17;770;;14.4;;;380;;7.7;;4;560
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.2000 0:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.2000 0:00;0,0-1,0;;;;;11;;;;17.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.7.2000 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.7.2000 0:00;0,0-1,0;;;;;2.5;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.7.2000 0:00;0,1;0;;;;;;;1;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.7.2000 0:00;1,0;;;;;;11;410;;16.9;;;5;;8;;;660
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.2000 0:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.2000 0:00;0,0-1,0;;;;;2.2;;;;18.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2000 0:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2000 0:00;0,0-1,0;;;;;5.1;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2000 0:00;0,1;20;;;;;;;28;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2000 0:00;1,0;;100;9.8;;;15;410;;15.6;;;5;;7.9;;4.3;510
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.2000 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.2000 0:00;1,0;;101;10.8;;;15;430;;11;;;;;7.9;;2.3;660
Et kaup selkä 1;5520;227911;7005357;2.4;29.1.2001 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.1.2001 0:00;1,0;;87;12.1;;;6;1200;;0.9;;;;;6.9;;2.3;780
Et kaup selkä 1;5520;227911;7005357;2.4;27.3.2001 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.3.2001 0:00;1,0;;69;9.5;;;7;960;;1.1;;;;;6.9;;0.91;820
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2001 0:00;;;;;;;;;;;;;;0.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2001 0:00;0,0-1,0;;;;;6;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2001 0:00;0,1;1;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2001 0:00;1,0;;98;10.4;;;26;1700;;10.9;;;1300;;7.4;;15;410
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.2001 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.2001 0:00;0,0-1,0;;;;;5;;;;17.3;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.2001 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.2001 0:00;0,0-1,0;;;;;7.3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.2001 0:00;0,1;4;;;;;;;62;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.7.2001 0:00;1,0;;;;;;12;1600;;21.9;;;1200;;8.1;;;460
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2001 0:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2001 0:00;0,0-1,0;;;;;2.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2001 0:00;0,1;0;;;;;;;6;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2001 0:00;1,0;;105;10.1;;;15;400;;15.8;;;5;;7.8;;3.3;660
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.2001 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.2001 0:00;1,0;;95;10.8;;;22;690;;8.5;;;;;7.7;;5.6;650
Et kaup selkä 1;5520;227911;7005357;2.4;22.1.2002 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.1.2002 0:00;1,0;;76;10.6;;;8;830;;0.7;;;;;7;;0.54;760
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.2002 0:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.2002 0:00;1,0;;66;9.2;;;7;1400;;0.5;;;;;6.6;;2;630
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.2002 0:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.2002 0:00;0,0-1,0;;;;;16;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.2002 0:00;0,1;4;;;;;;;11;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.6.2002 0:00;1,0;;110;10.1;;;19;460;;18.5;;;2;;8.3;;3.3;570
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.2002 0:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.2002 0:00;0,0-1,0;;;;;4.6;;;;18.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2002 0:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2002 0:00;0,0-1,0;;;;;4.4;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2002 0:00;0,1;0;;;;;;;9;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2002 0:00;1,0;;;;;;14;370;;18.5;;;2;;8.1;;;670
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.2002 0:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.2002 0:00;0,0-1,0;;;;;6.1;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.2002 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.2002 0:00;0,0-1,0;;;;;6.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.2002 0:00;0,1;0;;;;;;;18;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.8.2002 0:00;1,0;;101;9.3;;;18;470;;18.4;;;2;;8.2;;2.2;690
Et kaup selkä 1;5520;227911;7005357;2.4;30.9.2002 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.9.2002 0:00;1,0;;87;11.1;;;21;580;;8.2;;;;;7.8;;3.3;730
Et kaup selkä 1;5520;227911;7005357;2.4;20.1.2003 0:00;1,0;;71;10;;;14;660;;0.4;;;;;7.2;;1.1;820
Et kaup selkä 1;5520;227911;7005357;2.4;17.3.2003 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;17.3.2003 0:00;1,0;;44;6;;;9;1000;;1.2;;;;;6.8;;1.1;730
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.2003 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.2003 0:00;0,0-1,0;;;;;10;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.2003 0:00;0,1;2;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.2003 0:00;1,0;;101;9.8;;;26;1200;;15.8;;;640;;7.1;;5.8;350
Et kaup selkä 1;5520;227911;7005357;2.4;25.6.2003 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.6.2003 0:00;0,0-1,0;;;;;11;;;;18.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2003 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2003 0:00;0,0-1,0;;;;;14;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2003 0:00;0,1;0;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2003 0:00;1,0;;;;;;18;500;;19.6;;;24;;8.2;;;560
Et kaup selkä 1;5520;227911;7005357;2.4;21.7.2003 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.7.2003 0:00;0,0-1,0;;;;;4.5;;;;24;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.2003 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.2003 0:00;0,0-1,0;;;;;8.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.2003 0:00;0,1;0;;;;;;;5;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.8.2003 0:00;1,0;;98;8.3;;;18;470;;22.2;;;2;;7.9;;3.1;660
Et kaup selkä 1;5520;227911;7005357;2.4;29.9.2003 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.9.2003 0:00;1,0;;97;10.7;;;21;470;;9.7;;;;;7.8;;4.1;740
Et kaup selkä 1;5520;227911;7005357;2.4;19.1.2004 0:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.1.2004 0:00;1,0;;66;9.4;;;5;2100;;0.3;;;;;6.1;;3.5;580
Et kaup selkä 1;5520;227911;7005357;2.4;16.3.2004 0:00;;;;;;;;;;;;;;1.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.3.2004 0:00;1,0;;73;10.2;;;9;930;;0.3;;;;;6.9;;0.46;810
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2004 0:00;;;;;;;;;;;;;;0.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2004 0:00;0,0-1,0;;;;;7.5;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2004 0:00;0,1;1;;;;;;;4;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2004 0:00;1,0;;96;10;;;45;1900;;12.8;;;1100;;7;;18;300
Et kaup selkä 1;5520;227911;7005357;2.4;21.6.2004 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.6.2004 0:00;0,0-1,0;;;;;7.6;;;;14.1;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.7.2004 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.7.2004 0:00;0,0-1,0;;;;;14.2;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.7.2004 0:00;0,1;0;;;;;;;1;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.7.2004 0:00;1,0;;;;;;18;450;;17.8;;;19;;8.1;;;560
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.2004 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.2004 0:00;0,0-1,0;;;;;6;;;;19.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2004 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2004 0:00;0,0-1,0;;;;;3.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2004 0:00;0,1;5;;;;;;;15;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2004 0:00;1,0;;100;8.8;;;14;530;;22.9;;;66;;7.7;;1.6;350
Et kaup selkä 1;5520;227911;7005357;2.4;27.9.2004 0:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.9.2004 0:00;1,0;;96;10.4;;;13;1200;;11.4;;;;;7.3;;5.6;480
Et kaup selkä 1;5520;227911;7005357;2.4;31.1.2005 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.1.2005 0:00;1,0;;60;8.8;;;14;6700;;0.4;;;;;4.3;;7.1;97
Et kaup selkä 1;5520;227911;7005357;2.4;22.3.2005 0:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.3.2005 0:00;1,0;;75;10.6;;;6;2100;;0.3;;;;;6.3;;2.4;610
Et kaup selkä 1;5520;227911;7005357;2.4;30.5.2005 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.5.2005 0:00;0,0-1,0;;;;;16;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.5.2005 0:00;0,1;0;;;;;;;0;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.5.2005 0:00;1,0;;98;10.7;;;26;1100;;11.7;;;600;;7.6;;12;490
Et kaup selkä 1;5520;227911;7005357;2.4;20.6.2005 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.6.2005 0:00;0,0-1,0;;;;;14;;;;19.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.2005 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.2005 0:00;0,0-1,0;;;;;3.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.2005 0:00;0,1;33;;;;;;;1;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.7.2005 0:00;1,0;;;;;;16;480;;23.5;;;2;;8.1;;;570
Et kaup selkä 1;5520;227911;7005357;2.4;25.7.2005 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.7.2005 0:00;0,0-1,0;;;;;7.1;;;;18.8;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.2005 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.2005 0:00;0,0-1,0;;;;;8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.2005 0:00;0,1;20;;;;;;;19;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.8.2005 0:00;1,0;;93;8.9;;;19;570;;16.6;;;2;;7.7;;2.6;560
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.2005 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.10.2005 0:00;1,0;;97;10.5;;;19;600;;10.9;;;;;7.8;;2.8;700
Et kaup selkä 1;5520;227911;7005357;2.4;30.1.2006 0:00;;;;;;;;;;;;;;1.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.1.2006 0:00;1,0;;80;10.9;;;7;1500;;1.4;;;;;6.8;;1.5;720
Et kaup selkä 1;5520;227911;7005357;2.4;21.3.2006 0:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.3.2006 0:00;1,0;;38;5.3;;;10;270;;0.2;;;;;6.6;;1.4;690
Et kaup selkä 1;5520;227911;7005357;2.4;29.5.2006 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.5.2006 0:00;0,0-1,0;;;;;9.3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.5.2006 0:00;0,1;1;;;;;;;1;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.5.2006 0:00;1,0;;103;10.9;;;17;1500;;12.2;;;920;;7.1;;7.1;390
Et kaup selkä 1;5520;227911;7005357;2.4;19.6.2006 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.6.2006 0:00;0,0-1,0;;;;;13;;;;17.3;;;;;;;;
