name of the station;ID-number of the station;ETRS-coordinates east;ETRS-coordinates north;max depth of the station;date;sampling depth;Faecal enterococci (kpl/100ml);Oxygen saturation (kyll.%);Dissolved oxygen (mg/l);Suspended solids, coarse (mg/l);Chlorophyll a (µg/l);Total phosphorous, unfiltered (µg/l);Total nitrogen, unfiltered (µg/l);Coliform bacteria thermotolerant (kpl/100ml);Temperature (°C);Nitrate as nitrogen, unfiltered (µg/l);Nitrate as nitrogen, unfiltered (µg/l);Nitrite nitrate as nitrogen, unfiltered (µg/l);Secchi depth (m);pH  ;Salinity (‰);Turbidity (FNU);Conductivity (mS/m)
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.2006 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.2006 0:00;0,0-1,0;;;;;8;;;;19.8;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2006 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2006 0:00;0,0-1,0;;;;;8.8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2006 0:00;0,1;3;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2006 0:00;1,0;;104;8.8;;;26;640;;22.8;;;2;;7.9;;5.1;760
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.2006 0:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.10.2006 0:00;1,0;;100;10.9;;;16;460;;10.5;;;;;7.8;;3.4;850
Et kaup selkä 1;5520;227911;7005357;2.4;23.7.2007 0:00;;;;;;;;;;;;;;2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.7.2007 0:00;0,0-1,0;;;;;4.1;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.7.2007 0:00;0,1;0;;;;;;;0;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.7.2007 0:00;1,0;;;;;;15;390;;18.6;;;2;;7.7;;;690
Et kaup selkä 1;5520;227911;7005357;2.4;4.10.2007 0:00;;;;;;;;;;;;;;2.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.10.2007 0:00;1,0;;97;10.4;;;17;570;;10.8;;;;;7.9;;2.4;750
Et kaup selkä 1;5520;227911;7005357;2.4;26.5.2008 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.5.2008 0:00;0,0-1,0;;;;;11;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.5.2008 0:00;0,1;0;;;;;;;0;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.5.2008 0:00;1,0;;110;11.4;;;21;1300;;13.1;;;860;;7.8;;5.6;480
Et kaup selkä 1;5520;227911;7005357;2.4;16.6.2008 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.6.2008 0:00;0,0-1,0;;;;;14;;;;15.9;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2008 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2008 0:00;0,0-1,0;;;;;4.2;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2008 0:00;0,1;2;;;;;;;4;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2008 0:00;1,0;;;;;;25;530;;15.3;;;2;;7.7;;;670
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2008 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2008 0:00;0,0-1,0;;;;;7.8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2008 0:00;0,1;0;;;;;;;1;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.8.2008 0:00;1,0;;99;9.6;;;17;490;;15.3;;;2;;7.8;;3.6;680
Et kaup selkä 1;5520;227911;7005357;2.4;27.8.2008 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.8.2008 0:00;0,0-1,0;;;;;12;;;;16;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.2008 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.10.2008 0:00;1,0;;100;11.6;;;13;540;;7.3;;;;;7.7;;8.6;740
Et kaup selkä 1;5520;227911;7005357;2.4;9.3.2009 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.3.2009 0:00;1,0;;54;7.3;;;11;1800;;1.3;;;;;6.9;;2.3;680
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2009 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2009 0:00;0,0-1,0;;;;;21;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2009 0:00;0,1;1;;;;;;;1;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2009 0:00;1,0;;108;10.3;;;32;1700;;17.2;;;1100;;8;;13;400
Et kaup selkä 1;5520;227911;7005357;2.4;22.6.2009 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.6.2009 0:00;0,0-1,0;;;;;36;;;;15.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2009 0:00;;;;;;;;;;;;;;1.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2009 0:00;0,0-1,0;;;;;14;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2009 0:00;0,1;1;;;;;;;2;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2009 0:00;1,0;;;;;;17;470;;16.7;;;2;;8;;;660
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.2009 0:00;;;;;;;;;;;;;;1.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.2009 0:00;0,0-1,0;;;;;16;;;;18.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2009 0:00;;;;;;;;;;;;;;1.55;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2009 0:00;0,0-1,0;;;;;4.8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2009 0:00;0,1;6;;;;;;;8;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2009 0:00;1,0;;101;8.9;;;17;410;;19.9;;;2;;7.8;;3.1;710
Et kaup selkä 1;5520;227911;7005357;2.4;12.10.2009 0:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.10.2009 0:00;1,0;;95;12;;;33;640;;4.1;;;;;7.6;;12;760
Et kaup selkä 1;5520;227911;7005357;2.4;15.3.2010 0:00;;;;;;;;;;;;;;1.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.3.2010 0:00;1,0;;39;5.4;;;12;780;;0.5;;;340;;6.8;;1.1;810
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2010 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2010 0:00;0,0-1,0;;;;;13;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.5.2010 0:00;1,0;;102;11;;;35;1600;;12.2;;;980;;7.3;;12;460
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2010 14:00;1,0;;;;;;;;;14.5;;;;;7.22;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.6.2010 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;15.6.2010 0:00;0,0-1,0;;;;;15;;;;13.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2010 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2010 0:00;0,0-1,0;;;;;9.1;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.7.2010 0:00;1,0;;;;;;30;660;;19.6;;;130;;7.7;;;570
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.2010 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.2010 0:00;0,0-1,0;;;;;11;;;;20.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.8.2010 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.8.2010 0:00;0,0-1,0;;;;;7.9;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;30.8.2010 0:00;1,0;;100;10;;;20;460;;13;;;2;;7.8;;5.9;770
Et kaup selkä 1;5520;227911;7005357;2.4;26.10.2010 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.10.2010 0:00;1,0;;95;13;;;25;2100;;1.5;;;;;7;;12;460
Et kaup selkä 1;5520;227911;7005357;2.4;12.11.2010 10:00;1,0;;;;;;;;;0.5;;;;;6.8;;;470
Et kaup selkä 1;5520;227911;7005357;2.4;24.3.2011 0:00;;;;;;;;;;;;;;1.1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.3.2011 0:00;1,0;;54;7.8;;;20;1000;;0.2;;;380;;6.8;;3.6;690
Et kaup selkä 1;5520;227911;7005357;2.4;11.5.2011 13:15;1,0;;;;;;;;;13;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.6.2011 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.6.2011 0:00;0,0-1,0;;;;;12;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;6.6.2011 0:00;1,0;;109;11;;;28;780;;15.4;;;300;;7.7;;18;580
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.2011 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.6.2011 0:00;0,0-1,0;;;;;8.1;;;;18.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2011 0:00;;;;;;;;;;;;;;0.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2011 0:00;0,0-1,0;;;;;7.8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2011 0:00;1,0;;;;;;20;140;;20.5;;;2;;8.4;;;560
Et kaup selkä 1;5520;227911;7005357;2.4;21.7.2011 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;21.7.2011 0:00;0,0-1,0;;;;;4;;;;20.7;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.8.2011 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.8.2011 0:00;0,0-1,0;;;;;11;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.8.2011 0:00;1,0;;96;8.5;;;27;480;;20.6;;;2;;7.9;;11;730
Et kaup selkä 1;5520;227911;7005357;2.4;12.10.2011 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.10.2011 0:00;1,0;;91;11;;;24;2400;;8;;;;;7;;14.6;450
Et kaup selkä 1;5520;227911;7005357;2.4;22.11.2011 14:30;1,0;;;;;;;;;1;;;;;7.2;;;560
Et kaup selkä 1;5520;227911;7005357;2.4;9.5.2012 11:40;;;;;;;;;;;;;;0.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.5.2012 11:40;1,0;;87;10;60;;74;2900;;9.1;;;;;6.9;;;320
Et kaup selkä 1;5520;227911;7005357;2.4;16.5.2012 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.5.2012 0:00;0,0-2,0;;;;;4.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.5.2012 0:00;1,0;;91;9.3;;;46;3000;;14;;;2300;;6.4;;28;240
Et kaup selkä 1;5520;227911;7005357;2.4;23.5.2012 11:15;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.5.2012 11:15;1,0;;86;9.1;27;;43;2900;;12.8;;;;;6.1;;;200
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2012 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2012 0:00;0,0-1,0;;;;;11.9;;;;14;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2012 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2012 0:00;0,0-1,0;;;;;4.2;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2012 0:00;1,0;;;;;;38;500;;18.5;;;2;;7.9;;;700
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2012 10:30;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2012 10:30;1,0;;102;10;7;17;22;530;;16.3;;;;;8.4;;;610
Et kaup selkä 1;5520;227911;7005357;2.4;26.7.2012 0:00;0,0-1,0;;;;;5.1;;;;18.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.2012 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.2012 0:00;0,0-1,0;;;;;8;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.2012 0:00;1,0;;93;8.6;;;24;480;;19.2;;;2;;7.8;;6.8;730
Et kaup selkä 1;5520;227911;7005357;2.4;29.8.2012 10:50;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;29.8.2012 10:50;1,0;;84;8.6;8.5;13;29;640;;14.3;;;;;7.7;;;590
Et kaup selkä 1;5520;227911;7005357;2.4;28.11.2012 11:45;1,0;;;;;;;;;1.4;;;;;7.2;;;460
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.2013 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;19.3.2013 0:00;0,7;;30;4.2;;;62;1900;;1.1;;;760;;6.4;;25;300
Et kaup selkä 1;5520;227911;7005357;2.4;10.5.2013 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.5.2013 0:00;0,0-1,0;;;;;3.3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;10.5.2013 0:00;1,0;;91;9.3;;;32;3100;;14;;;2400;;6;;20;180
Et kaup selkä 1;5520;227911;7005357;2.4;11.6.2013 0:00;;;;;;;;;;;;;;0.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.6.2013 0:00;0,0-1,0;;;;;33;;;;17.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2013 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2013 0:00;0,0-2,0;;;;;7.7;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;8.7.2013 0:00;1,0;;;;;;28;560;;20.2;;;2;;8;;;520
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.2013 0:00;;;;;;;;;;;;;;0.45;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.2013 0:00;0,0-2,0;;;;;11;;;;17.4;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.2013 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.2013 0:00;0,0-1,0;;;;;10;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;13.8.2013 0:00;1,0;;100;8.9;;;22;670;;19.7;;;2;;7.8;;6.2;760
Et kaup selkä 1;5520;227911;7005357;2.4;9.10.2013 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.10.2013 0:00;1,0;;92;10.1;;;26;490;;9.9;;;;;7.7;;7.3;740
Et kaup selkä 1;5520;227911;7005357;2.4;12.5.2014 0:00;0,0-1,0;;;;;9.5;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.5.2014 0:00;1,0;;95;10.6;;;37;1000;;9.7;;;580;;7.6;;13;610
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.2014 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.6.2014 0:00;0,0-1,0;;;;;14;;;;19.5;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2014 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2014 0:00;0,0-1,0;;;;;5.6;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2014 0:00;1,0;;;;;;26;460;;20.2;;;2;;8;;;720
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.2014 0:00;;;;;;;;;;;;;;1.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.7.2014 0:00;0,0-1,0;;;;;5.9;;;;22.2;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.8.2014 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.8.2014 0:00;0,0-1,0;;;;;12;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.8.2014 0:00;1,0;;93;8;;;28;520;;21.5;;;7;;7.8;;10;740
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.2014 0:00;;;;;;;;;;;;;;0.35;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.10.2014 0:00;1,0;;86;10.1;;;47;560;;7.6;;;;;7.6;;20;620
Et kaup selkä 1;5520;227911;7005357;2.4;23.2.2015 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;23.2.2015 0:00;1,0;;72;10.1;;;9;3300;;0.6;;;2900;;6.5;3.1;6.7;570
Et kaup selkä 1;5520;227911;7005357;2.4;4.6.2015 0:00;;;;;;;;;;;;;;0.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.6.2015 0:00;0,0;;;;;22;;;;12.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2015 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2015 0:00;0,0-1,0;;;;;23;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.7.2015 0:00;1,0;;;;;;33;1400;;17.9;;;720;;7.6;;;490
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.2015 0:00;;;;;;;;;;;;;;0.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;20.7.2015 0:00;0,0-1,8;;;;;19;;;;18.6;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2015 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2015 0:00;0,0-1,7;;;;;29;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.8.2015 0:00;1,0;;100;9.4;;;42;680;;19;;;2;;8.3;3.1;16;560
Et kaup selkä 1;5520;227911;7005357;2.4;7.10.2015 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.10.2015 0:00;1,0;;88;10.3;;;45;990;;7.5;;;;;7.5;2.9;19;540
Et kaup selkä 1;5520;227911;7005357;2.4;25.1.2016 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.1.2016 0:00;1,0;;80;11.4;5;;12;1200;;0.7;;;;;7.1;;;810
Et kaup selkä 1;5520;227911;7005357;2.4;16.2.2016 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;16.2.2016 0:00;1,0;;63;8.9;;;31;1700;;0.3;;;990;;6.7;3.2;6.4;590
Et kaup selkä 1;5520;227911;7005357;2.4;11.5.2016 0:00;;;;;;;;;;;;;;0.3;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.5.2016 0:00;0,0-2,0;;;;;9.3;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;11.5.2016 0:00;1,0;;87;9.1;;;79;3100;;13.3;;;2300;;6.6;0.7;42;180
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2016 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;1.6.2016 0:00;0,0-1,0;;;;;15;;;;20.1;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2016 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2016 0:00;0,0-1,7;;;;;21;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;28.6.2016 0:00;1,0;;;;;;34;890;;18;;;420;;7.5;;;410
Et kaup selkä 1;5520;227911;7005357;2.4;25.7.2016 0:00;;;;;;;;;;;;;;1;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;25.7.2016 0:00;0,0-1,0;;;;;11;;;;23.3;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2016 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2016 0:00;0,0-2,0;;;;;16;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.8.2016 0:00;1,0;;86;7.9;;;42;560;;18.4;;;2;;7.7;3.8;37;680
Et kaup selkä 1;5520;227911;7005357;2.4;5.10.2016 0:00;;;;;;;;;;;;;;0.2;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;5.10.2016 0:00;1,0;;92;10.5;;;41;1200;;8.5;;;;;7.6;3.2;18;580
Et kaup selkä 1;5520;227911;7005357;2.4;27.2.2017 0:00;;;;;;;;;;;;;;1.6;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;27.2.2017 0:00;1,0;;45;6.5;;;32;1200;;0.3;;;610;;6.5;2;5.2;390
Et kaup selkä 1;5520;227911;7005357;2.4;2.3.2017 0:00;;;;;;;;;;;;;;1.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;2.3.2017 0:00;1,0;;69;10;4.4;;22;730;;0.5;;;;;7;;;730
Et kaup selkä 1;5520;227911;7005357;2.4;9.3.2017 0:00;;;;;;;;;;;;;;0.9;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;9.3.2017 0:00;1,0;;68;9.8;4.5;;19;770;;0.5;;;;;7;;;750
Et kaup selkä 1;5520;227911;7005357;2.4;4.5.2017 0:00;;;;;;;;;;;;;;0.35;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;4.5.2017 0:00;1,0;;94;11.2;37;;72;2700;;8;;;;;6.8;;;180
Et kaup selkä 1;5520;227911;7005357;2.4;12.5.2017 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.5.2017 0:00;1,0;;93;11.6;26;;51;2500;;6.1;;;;;6.9;;;220
Et kaup selkä 1;5520;227911;7005357;2.4;22.5.2017 0:00;;;;;;;;;;;;;;0.4;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.5.2017 0:00;0,0-1,7;;;;;14;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;22.5.2017 0:00;1,0;;99;10.3;;;42;1800;;13;;;1200;;7.4;1.9;22;370
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2017 0:00;;;;;;;;;;;;;;0.55;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;12.6.2017 0:00;0,0-1,0;;;;;20;;;;16;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.2017 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;26.6.2017 0:00;1,0;;94;9.5;9.8;15;31;530;;14.9;;;;;7.9;;;520
Et kaup selkä 1;5520;227911;7005357;2.4;3.7.2017 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.7.2017 0:00;0,0-1,7;;;;;15;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;3.7.2017 0:00;1,0;;;;;;28;520;;17.9;;;2;;7.5;;;570
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.2017 0:00;;;;;;;;;;;;;;0.5;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;24.7.2017 0:00;0,0-1,0;;;;;12;;;;17.8;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.7.2017 0:00;;;;;;;;;;;;;;0.7;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;31.7.2017 0:00;1,0;;97;9.1;12;18;47;600;;18.2;;;;;7.9;;;550
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2017 0:00;;;;;;;;;;;;;;0.8;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2017 0:00;0,0-1,0;;;;;11;;;;;;;;;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;7.8.2017 0:00;1,0;;89;8.4;;;31;480;;17;;;2;;7.7;3.6;5.4;650
Et kaup selkä 1;5520;227911;7005357;2.4;18.10.2017 0:00;;;;;;;;;;;;;;0.45;;;;
Et kaup selkä 1;5520;227911;7005357;2.4;18.10.2017 0:00;1,0;;92;10.9;;;46;970;;7.2;;;;;7.6;2.9;18;540
